"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"VirtEcom1.2.nlogox"
"Experiment A_OperatingCost"
"09/06/2026 23:54:45:530 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","operating-cost","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity"
"2","5","15","20","0","1","983.875","0","34.05","24","0","4.15"
"6","40","15","20","0","1","463.75","0","38.1","19","0","4.1"
"4","20","14","20","0","1","829.5","0","53.35","27","0","4.1"
"7","50","13","20","0","1","473","0","43.7","47","0","4.45"
"5","30","17","20","0","1","596.125","0","38.85","18","0","3.8"
"1","0","4","20","0","1","1048.375","0","207","20","0","3.65"
"6","40","16","20","0","1","423.75","0","38.1","19","0","4.1"
"3","10","17","20","0","1","1016","0","49.75","35","0","4.3"
"2","5","16","20","0","1","978.875","0","34.05","30","0","4.2"
"7","50","14","20","0","1","423","0","43.7","47","0","4.45"
"5","30","18","20","0","1","566.125","0","38.85","18","0","3.85"
"6","40","17","20","0","1","383.75","0","38.1","19","0","4.1"
"4","20","15","20","0","1","809.5","0","53.35","27","0","4.1"
"1","0","5","20","0","1","1056.25","0","149.5","20","0","3.65"
"7","50","15","20","0","1","373","0","43.7","47","0","4.45"
"3","10","18","20","0","1","1006","0","49.75","35","0","4.35"
"2","5","17","20","0","1","973.875","0","34.05","32","0","4.25"
"5","30","19","20","0","1","536.125","0","38.85","18","0","3.85"
"6","40","18","20","0","1","343.75","0","38.1","19","0","4.1"
"7","50","16","20","0","1","323","0","43.7","47","0","4.5"
"4","20","16","20","0","1","789.5","0","53.35","27","0","4.1"
"3","10","19","20","0","1","996","0","49.75","35","0","4.35"
"5","30","20","20","0","1","506.125","0","38.85","18","0","3.85"
"2","5","18","20","0","1","968.875","0","34.05","32","0","4.3"
"6","40","19","20","0","1","303.75","0","38.1","19","0","4.1"
"1","0","6","20","0","1","1065.25","0","100.75","20","0","3.65"
"7","50","17","20","0","1","273","0","43.7","47","0","4.5"
"5","30","21","20","0","1","476.125","0","38.85","18","0","3.85"
"4","20","17","20","0","1","769.5","0","53.35","27","0","4.1"
"6","40","20","20","0","1","263.75","0","38.1","19","0","4.15"
"2","5","19","20","0","1","963.875","0","34.05","32","0","4.3"
"3","10","20","20","0","1","986","0","49.75","35","0","4.35"
"7","50","18","20","0","1","223","0","43.7","47","0","4.5"
"6","40","21","20","0","1","223.75","0","38.1","19","0","4.15"
"4","20","18","20","0","1","749.5","0","53.35","27","0","4.1"
"5","30","22","20","0","1","446.125","0","38.85","18","0","3.85"
"3","10","21","20","0","1","976","0","49.75","35","0","4.35"
"1","0","7","20","0","1","1070.125","0","72","22","0","3.7"
"2","5","20","20","0","1","958.875","0","34.05","32","0","4.3"
"5","30","23","20","0","1","416.125","0","38.85","18","0","3.85"
"6","40","22","20","0","1","183.75","0","38.1","19","0","4.15"
"3","10","22","20","0","1","966","0","49.75","35","0","4.35"
"4","20","19","20","0","1","729.5","0","53.35","27","0","4.15"
"7","50","19","20","0","1","173","0","43.7","47","0","4.55"
"1","0","8","20","0","1","1075.375","0","48.25","22","0","3.7"
"2","5","21","20","0","1","953.875","0","34.05","32","0","4.3"
"6","40","23","20","0","1","143.75","0","38.1","19","0","4.15"
"5","30","24","20","0","1","386.125","0","38.85","18","0","3.85"
"4","20","20","20","0","1","709.5","0","53.35","27","0","4.15"
"1","0","9","20","0","1","1075.375","0","48.25","22","0","3.75"
"2","5","22","20","0","1","948.875","0","34.05","32","0","4.3"
"3","10","23","20","0","1","956","0","49.75","35","0","4.35"
"7","50","20","20","0","1","123","0","43.7","47","0","4.55"
"5","30","25","20","0","1","356.125","0","38.85","18","0","3.9"
"6","40","24","20","0","1","103.75","0","38.1","19","0","4.15"
"4","20","21","20","0","1","689.5","0","53.35","27","0","4.15"
"3","10","24","20","0","1","946","0","49.75","35","0","4.35"
"1","0","10","20","0","1","1075.375","0","48.25","22","0","3.75"
"5","30","26","20","0","1","326.125","0","38.85","20","0","3.95"
"2","5","23","20","0","1","943.875","0","34.05","32","0","4.3"
"7","50","21","20","0","1","198","125","43.7","47","0","4.55"
"6","40","25","20","0","1","63.75","0","38.1","19","0","4.15"
"4","20","22","20","0","1","669.5","0","53.35","27","0","4.15"
"3","10","25","20","0","1","936","0","49.75","35","0","4.35"
"1","0","11","20","0","1","1075.375","0","48.25","22","0","3.75"
"4","20","23","20","0","1","649.5","0","53.35","27","0","4.15"
"2","5","24","20","0","1","938.875","0","34.05","32","0","4.3"
"5","30","27","20","0","1","296.125","0","38.85","20","0","3.95"
"7","50","22","20","0","1","173","150","43.7","48","0","4.6"
"3","10","26","20","0","1","926","0","49.75","40","0","4.4"
"6","40","26","20","0","1","198.75","175","38.1","19","0","4.15"
"4","20","24","20","0","1","629.5","0","53.35","27","0","4.15"
"5","30","28","20","0","1","266.125","0","38.85","20","0","4"
"1","0","12","20","0","1","1075.375","0","48.25","22","0","3.8"
"7","50","23","20","0","1","198","225","43.7","48","0","4.6"
"3","10","27","20","0","1","916","0","49.75","40","0","4.4"
"6","40","27","20","0","1","283.75","300","38.1","19","0","4.15"
"2","5","25","20","0","1","933.875","0","34.05","32","0","4.3"
"4","20","25","20","0","1","609.5","0","53.35","27","0","4.15"
"5","30","29","20","0","1","236.125","0","38.85","22","0","4.1"
"1","0","13","20","0","1","1075.375","0","48.25","22","0","3.8"
"6","40","28","20","0","1","243.75","300","38.1","19","0","4.15"
"7","50","24","20","0","1","173","250","43.7","48","0","4.6"
"3","10","28","20","0","1","906","0","49.75","44","0","4.45"
"5","30","30","20","0","1","206.125","0","38.85","22","0","4.1"
"2","5","26","20","0","1","928.875","0","34.05","32","0","4.3"
"4","20","26","20","0","1","589.5","0","53.35","27","0","4.15"
"3","10","29","20","0","1","896","0","49.75","44","0","4.45"
"6","40","29","20","0","1","228.75","325","38.1","19","0","4.15"
"1","0","14","20","0","1","1075.375","0","48.25","22","0","3.8"
"5","30","31","20","0","1","176.125","0","38.85","22","0","4.1"
"7","50","25","20","0","1","148","275","43.7","48","0","4.6"
"4","20","27","20","0","1","569.5","0","53.35","27","0","4.15"
"3","10","30","20","0","1","886","0","49.75","44","0","4.45"
"2","5","27","20","0","1","923.875","0","34.05","32","0","4.3"
"6","40","30","20","0","1","188.75","325","38.1","19","0","4.2"
"5","30","32","20","0","1","146.125","0","38.85","22","0","4.1"
"4","20","28","20","0","1","549.5","0","53.35","27","0","4.15"
"1","0","15","20","0","1","1075.375","0","48.25","22","0","3.8"
"3","10","31","20","0","1","876","0","49.75","44","0","4.45"
"6","40","31","20","0","1","173.75","350","38.1","19","0","4.25"
"7","50","26","20","0","1","98","275","43.7","48","0","4.6"
"2","5","28","20","0","1","918.875","0","34.05","32","0","4.3"
"4","20","29","20","0","1","529.5","0","53.35","27","0","4.15"
"5","30","33","20","0","1","116.125","0","38.85","22","0","4.15"
"3","10","32","20","0","1","866","0","49.75","44","0","4.45"
"6","40","32","20","0","1","133.75","350","38.1","19","0","4.25"
"1","0","16","20","0","1","1075.375","0","48.25","22","0","3.8"
"2","5","29","20","0","1","913.875","0","34.05","32","0","4.3"
"7","50","27","20","0","1","48","275","43.7","48","0","4.65"
"3","10","33","20","0","1","856","0","49.75","44","0","4.45"
"4","20","30","20","0","1","509.5","0","53.35","27","0","4.15"
"5","30","34","20","0","1","286.125","200","38.85","22","0","4.15"
"6","40","33","20","0","1","143.75","400","38.1","19","0","4.25"
"2","5","30","20","0","1","908.875","0","34.05","32","0","4.35"
"1","0","17","20","0","1","1075.375","0","48.25","22","0","3.8"
"6","40","34","20","0","1","128.75","425","38.1","19","0","4.25"
"5","30","35","20","0","1","281.125","225","38.85","22","0","4.15"
"3","10","34","20","0","1","846","0","49.75","44","0","4.45"
"4","20","31","20","0","1","489.5","0","53.35","27","0","4.2"
"7","50","28","20","0","1","23","300","43.7","48","0","4.65"
"3","10","35","20","0","1","836","0","49.75","44","0","4.45"
"2","5","31","20","0","1","903.875","0","34.05","32","0","4.35"
"1","0","18","20","0","1","1075.375","0","48.25","22","0","3.8"
"6","40","35","20","0","1","88.75","425","38.1","19","0","4.25"
"4","20","32","20","0","1","469.5","0","53.35","27","0","4.2"
"5","30","36","20","0","1","276.125","250","38.85","22","0","4.15"
"7","50","29","20","0","1","-2","325","43.7","48","0","4.65"
"3","10","36","20","0","1","826","0","49.75","44","0","4.45"
"2","5","32","20","0","1","898.875","0","34.05","32","0","4.35"
"4","20","33","20","0","1","449.5","0","53.35","27","0","4.2"
"6","40","36","20","0","1","48.75","425","38.1","19","0","4.25"
"5","30","37","20","0","1","246.125","250","38.85","22","0","4.2"
"1","0","19","20","0","1","1075.375","0","48.25","22","0","3.8"
"4","20","34","20","0","1","429.5","0","53.35","27","0","4.2"
"3","10","37","20","0","1","816","0","49.75","44","0","4.45"
"7","50","30","20","0","1","-52","325","43.7","48","0","4.65"
"6","40","37","20","0","1","58.75","475","38.1","19","0","4.25"
"5","30","38","20","0","1","341.125","375","38.85","22","0","4.2"
"2","5","33","20","0","1","893.875","0","34.05","32","0","4.35"
"4","20","35","20","0","1","409.5","0","53.35","27","0","4.2"
"7","50","31","20","0","1","148","575","43.7","48","0","4.65"
"6","40","38","20","0","1","193.75","650","38.1","19","0","4.25"
"5","30","39","20","0","1","361.125","425","38.85","22","0","4.2"
"2","5","34","20","0","1","888.875","0","34.05","32","0","4.35"
"1","0","20","20","0","1","1075.375","0","48.25","22","0","3.8"
"4","20","36","20","0","1","389.5","0","53.35","27","0","4.2"
"3","10","38","20","0","1","806","0","49.75","44","0","4.45"
"7","50","32","20","0","1","148","625","43.7","48","0","4.65"
"2","5","35","20","0","1","883.875","0","34.05","32","0","4.35"
"5","30","40","20","0","1","331.125","425","38.85","22","0","4.2"
"1","0","21","20","0","1","1075.375","0","48.25","22","0","3.8"
"4","20","37","20","0","1","369.5","0","53.35","27","0","4.2"
"2","5","36","20","0","1","878.875","0","34.05","32","0","4.35"
"6","40","39","20","0","1","203.75","700","38.1","19","0","4.25"
"7","50","33","20","0","1","123","650","43.7","48","0","4.7"
"5","30","41","20","0","1","301.125","425","38.85","22","0","4.2"
"3","10","39","20","0","1","796","0","49.75","44","0","4.45"
"1","0","22","20","0","1","1075.375","0","48.25","22","0","3.9"
"6","40","40","20","0","1","213.75","750","38.1","19","0","4.25"
"7","50","34","20","0","1","123","700","43.7","48","0","4.75"
"2","5","37","20","0","1","873.875","0","34.05","32","0","4.35"
"3","10","40","20","0","1","786","0","49.75","44","0","4.45"
"5","30","42","20","0","1","271.125","425","38.85","22","0","4.25"
"4","20","38","20","0","1","349.5","0","53.35","27","0","4.2"
"6","40","41","20","0","1","198.75","775","38.1","19","0","4.25"
"1","0","23","20","0","1","1075.375","0","48.25","22","0","3.9"
"7","50","35","20","0","1","98","725","43.7","48","0","4.75"
"5","30","43","20","0","1","266.125","450","38.85","22","0","4.25"
"3","10","41","20","0","1","776","0","49.75","44","0","4.45"
"2","5","38","20","0","1","868.875","0","34.05","32","0","4.35"
"4","20","39","20","0","1","329.5","0","53.35","27","0","4.25"
"6","40","42","20","0","1","208.75","825","38.1","19","0","4.25"
"7","50","36","20","0","1","48","725","43.7","48","0","4.75"
"3","10","42","20","0","1","766","0","49.75","44","0","4.5"
"1","0","24","20","0","1","1075.375","0","48.25","22","0","3.95"
"5","30","44","20","0","1","236.125","450","38.85","22","0","4.25"
"4","20","40","20","0","1","309.5","0","53.35","27","0","4.25"
"2","5","39","20","0","1","863.875","0","34.05","32","0","4.35"
"6","40","43","20","0","1","193.75","850","38.1","19","0","4.25"
"7","50","37","20","0","1","-2","725","43.7","48","0","4.75"
"4","20","41","20","0","1","289.5","0","53.35","27","0","4.25"
"5","30","45","20","0","1","206.125","450","38.85","22","0","4.25"
"1","0","25","20","0","1","1075.375","0","48.25","23","0","4"
"7","50","38","20","0","1","-52","725","43.7","48","0","4.75"
"3","10","43","20","0","1","756","0","49.75","44","0","4.5"
"2","5","40","20","0","1","858.875","0","34.05","32","0","4.35"
"6","40","44","20","0","1","153.75","850","38.1","19","0","4.25"
"5","30","46","20","0","1","176.125","450","38.85","22","0","4.25"
"4","20","42","20","0","1","269.5","0","53.35","27","0","4.25"
"7","50","39","20","0","1","-102","725","43.7","48","0","4.75"
"1","0","26","20","0","1","1075.375","0","48.25","23","0","4"
"2","5","41","20","0","1","853.875","0","34.05","32","0","4.35"
"6","40","45","20","0","1","113.75","850","38.1","19","0","4.25"
"3","10","44","20","0","1","746","0","49.75","44","0","4.5"
"5","30","47","20","0","1","146.125","450","38.85","22","0","4.25"
"4","20","43","20","0","1","249.5","0","53.35","27","0","4.25"
"7","50","40","20","0","1","-127","750","43.7","48","0","4.75"
"2","5","42","20","0","1","848.875","0","34.05","32","0","4.35"
"6","40","46","20","0","1","73.75","850","38.1","19","0","4.3"
"1","0","27","20","0","1","1075.375","0","48.25","28","0","4.05"
"4","20","44","20","0","1","229.5","0","53.35","27","0","4.3"
"5","30","48","20","0","1","116.125","450","38.85","22","0","4.25"
"2","5","43","20","0","1","843.875","0","34.05","32","0","4.35"
"3","10","45","20","0","1","736","0","49.75","44","0","4.5"
"6","40","47","20","0","1","58.75","875","38.1","19","0","4.3"
"7","50","41","20","0","1","-27","900","43.7","48","0","4.75"
"1","0","28","20","0","1","1075.375","0","48.25","28","0","4.05"
"4","20","45","20","0","1","209.5","0","53.35","30","0","4.35"
"3","10","46","20","0","1","726","0","49.75","44","0","4.55"
"6","40","48","20","0","1","18.75","875","38.1","19","0","4.3"
"2","5","44","20","0","1","838.875","0","34.05","32","0","4.4"
"7","50","42","20","0","1","-2","975","43.7","48","0","4.75"
"5","30","49","20","0","1","86.125","450","38.85","22","0","4.25"
