"[all run data]","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity"
,"217","20","0","1","1075.375","0","48.25","55","0","5.35","217","20","0","1","248.875","275","34.05","45","0","5.65","217","20","0","1","266","1250","49.75","74","0","6.05","217","11","9","0.55","-193.63636363636363","3045.4545454545455","53.35","33","36","5.545454545454546","217","8","12","0.4","-351.25","5125","38.85","18","33","5.875","217","4","16","0.2","-1625.625","6000","38.1","4","20","5","217","1","19","0.05","150","10000","43.7","2","59","7"
,"218","20","0","1","1075.375","0","48.25","57","0","5.4","218","20","0","1","243.875","275","34.05","45","0","5.65","218","20","0","1","256","1250","49.75","74","0","6.05","218","11","9","0.55","-213.63636363636363","3045.4545454545455","53.35","33","36","5.545454545454546","218","8","12","0.4","-381.25","5125","38.85","18","33","5.875","218","4","16","0.2","-1540.625","6125","38.1","4","20","5","218","1","19","0.05","100","10000","43.7","2","59","7"
,"219","20","0","1","1075.375","0","48.25","57","0","5.45","219","20","0","1","238.875","275","34.05","45","0","5.65","219","20","0","1","271","1275","49.75","74","0","6.05","219","11","9","0.55","-233.63636363636363","3045.4545454545455","53.35","33","36","5.545454545454546","219","8","12","0.4","-411.25","5125","38.85","18","33","5.875","219","4","16","0.2","-1580.625","6125","38.1","4","20","5","219","1","19","0.05","50","10000","43.7","2","59","7"
,"220","20","0","1","1075.375","0","48.25","57","0","5.5","220","20","0","1","258.875","300","34.05","45","0","5.7","220","20","0","1","286","1300","49.75","75","0","6.1","220","11","9","0.55","-253.63636363636363","3045.4545454545455","53.35","33","36","5.545454545454546","220","8","12","0.4","-441.25","5125","38.85","18","33","5.875","220","4","16","0.2","-1620.625","6125","38.1","4","20","5","220","1","19","0.05","0","10000","43.7","2","59","7"
,"221","20","0","1","1075.375","0","48.25","57","0","5.5","221","20","0","1","253.875","300","34.05","45","0","5.7","221","20","0","1","276","1300","49.75","75","0","6.1","221","11","9","0.55","-273.6363636363636","3045.4545454545455","53.35","33","36","5.545454545454546","221","8","12","0.4","-408.75","5187.5","38.85","18","33","5.875","221","4","16","0.2","-1660.625","6125","38.1","4","20","5","221","1","19","0.05","450","10500","43.7","2","59","7"
,"222","20","0","1","1075.375","0","48.25","57","0","5.5","222","20","0","1","248.875","300","34.05","48","0","5.8","222","20","0","1","266","1300","49.75","75","0","6.15","222","11","9","0.55","-293.6363636363636","3045.4545454545455","53.35","33","36","5.545454545454546","222","8","12","0.4","-376.25","5250","38.85","18","33","5.875","222","4","16","0.2","-1700.625","6125","38.1","4","20","5","222","1","19","0.05","400","10500","43.7","2","59","7"
,"223","20","0","1","1075.375","0","48.25","57","0","5.5","223","20","0","1","243.875","300","34.05","49","0","5.85","223","20","0","1","256","1300","49.75","75","0","6.15","223","11","9","0.55","-313.6363636363636","3045.4545454545455","53.35","33","36","5.545454545454546","223","8","12","0.4","-406.25","5250","38.85","19","33","6","223","4","16","0.2","-1740.625","6125","38.1","4","20","5","223","1","19","0.05","350","10500","43.7","2","59","7"
,"224","20","0","1","1075.375","0","48.25","57","0","5.5","224","20","0","1","238.875","300","34.05","49","0","5.85","224","20","0","1","246","1300","49.75","75","0","6.15","224","11","9","0.55","-288.1818181818182","3090.909090909091","53.35","33","36","5.545454545454546","224","8","12","0.4","-436.25","5250","38.85","19","33","6","224","4","16","0.2","-1780.625","6125","38.1","4","20","5","224","1","19","0.05","300","10500","43.7","2","59","7"
,"225","20","0","1","1075.375","0","48.25","57","0","5.5","225","20","0","1","233.875","300","34.05","49","0","5.85","225","20","0","1","236","1300","49.75","75","0","6.15","225","11","9","0.55","-308.1818181818182","3090.909090909091","53.35","33","36","5.545454545454546","225","8","12","0.4","-466.25","5250","38.85","19","33","6","225","4","16","0.2","-1820.625","6125","38.1","4","20","5","225","1","19","0.05","250","10500","43.7","2","59","7"
,"226","20","0","1","1075.375","0","48.25","57","0","5.5","226","20","0","1","228.875","300","34.05","49","0","5.85","226","20","0","1","226","1300","49.75","75","0","6.15","226","11","9","0.55","-55.45454545454545","3363.6363636363635","53.35","33","36","5.545454545454546","226","8","12","0.4","-496.25","5250","38.85","19","33","6","226","4","16","0.2","-1610.625","6375","38.1","4","20","5","226","1","19","0.05","200","10500","43.7","2","59","7"
,"227","20","0","1","1075.375","0","48.25","57","0","5.5","227","20","0","1","223.875","300","34.05","49","0","5.85","227","20","0","1","216","1300","49.75","75","0","6.15","227","11","9","0.55","-75.45454545454545","3363.6363636363635","53.35","33","36","5.545454545454546","227","8","12","0.4","-526.25","5250","38.85","19","33","6","227","4","16","0.2","-1650.625","6375","38.1","4","20","5","227","1","19","0.05","150","10500","43.7","2","59","7"
,"228","20","0","1","1075.375","0","48.25","57","0","5.5","228","20","0","1","218.875","300","34.05","50","0","5.9","228","20","0","1","231","1325","49.75","75","0","6.15","228","11","9","0.55","-95.45454545454545","3363.6363636363635","53.35","33","36","5.545454545454546","228","8","12","0.4","-556.25","5250","38.85","19","33","6","228","4","16","0.2","-1690.625","6375","38.1","4","20","5","228","1","19","0.05","100","10500","43.7","2","59","7"
,"229","20","0","1","1075.375","0","48.25","57","0","5.55","229","20","0","1","213.875","300","34.05","50","0","5.9","229","20","0","1","221","1325","49.75","75","0","6.15","229","11","9","0.55","-115.45454545454545","3363.6363636363635","53.35","33","36","5.545454545454546","229","8","12","0.4","-586.25","5250","38.85","19","33","6","229","4","16","0.2","-1730.625","6375","38.1","4","20","5","229","1","19","0.05","50","10500","43.7","2","59","7"
,"230","20","0","1","1075.375","0","48.25","57","0","5.55","230","20","0","1","233.875","325","34.05","50","0","5.9","230","20","0","1","211","1325","49.75","75","0","6.2","230","11","9","0.55","-135.45454545454547","3363.6363636363635","53.35","33","36","5.545454545454546","230","8","12","0.4","-616.25","5250","38.85","19","33","6","230","4","16","0.2","-1770.625","6375","38.1","4","20","5","230","1","19","0.05","0","10500","43.7","2","59","7"
,"231","20","0","1","1075.375","0","48.25","57","0","5.55","231","20","0","1","228.875","325","34.05","50","0","5.9","231","20","0","1","201","1325","49.75","75","0","6.2","231","11","9","0.55","-155.45454545454547","3363.6363636363635","53.35","33","36","5.545454545454546","231","8","12","0.4","-646.25","5250","38.85","19","33","6","231","4","16","0.2","-1685.625","6500","38.1","4","20","5","231","1","19","0.05","450","11000","43.7","2","59","7"
,"232","20","0","1","1075.375","0","48.25","57","0","5.55","232","20","0","1","223.875","325","34.05","50","0","5.95","232","20","0","1","191","1325","49.75","75","0","6.2","232","11","9","0.55","-130","3409.090909090909","53.35","33","36","5.545454545454546","232","8","12","0.4","-676.25","5250","38.85","19","33","6","232","4","16","0.2","-1725.625","6500","38.1","4","20","5","232","1","19","0.05","400","11000","43.7","2","59","7"
,"233","20","0","1","1075.375","0","48.25","57","0","5.55","233","20","0","1","243.875","350","34.05","50","0","5.95","233","20","0","1","181","1325","49.75","75","0","6.2","233","11","9","0.55","-150","3409.090909090909","53.35","33","36","5.545454545454546","233","8","12","0.4","-706.25","5250","38.85","19","33","6","233","4","16","0.2","-1765.625","6500","38.1","4","20","5","233","1","19","0.05","350","11000","43.7","2","59","7"
,"234","20","0","1","1075.375","0","48.25","57","0","5.55","234","20","0","1","238.875","350","34.05","50","0","5.95","234","20","0","1","171","1325","49.75","75","0","6.2","234","11","9","0.55","-170","3409.090909090909","53.35","33","36","5.545454545454546","234","7","13","0.35","-552.8571428571429","5428.571428571428","38.85","19","33","6.142857142857143","234","4","16","0.2","-1805.625","6500","38.1","4","20","5","234","1","19","0.05","300","11000","43.7","2","59","7"
,"235","20","0","1","1075.375","0","48.25","57","0","5.55","235","20","0","1","233.875","350","34.05","50","0","5.95","235","20","0","1","161","1325","49.75","75","0","6.2","235","11","9","0.55","-190","3409.090909090909","53.35","33","36","5.545454545454546","235","7","13","0.35","-582.8571428571429","5428.571428571428","38.85","19","33","6.142857142857143","235","4","16","0.2","-1845.625","6500","38.1","4","20","5","235","1","19","0.05","250","11000","43.7","2","59","7"
,"236","20","0","1","1075.375","0","48.25","57","0","5.55","236","20","0","1","228.875","350","34.05","50","0","5.95","236","20","0","1","151","1325","49.75","75","0","6.2","236","11","9","0.55","-164.54545454545453","3454.5454545454545","53.35","33","36","5.545454545454546","236","7","13","0.35","-612.8571428571429","5428.571428571428","38.85","19","33","6.142857142857143","236","4","16","0.2","-1885.625","6500","38.1","4","20","5","236","1","19","0.05","200","11000","43.7","2","59","7"
,"237","20","0","1","1075.375","0","48.25","57","0","5.55","237","20","0","1","223.875","350","34.05","50","0","5.95","237","20","0","1","141","1325","49.75","75","0","6.2","237","11","9","0.55","-184.54545454545453","3454.5454545454545","53.35","34","36","5.636363636363637","237","7","13","0.35","-642.8571428571429","5428.571428571428","38.85","19","33","6.142857142857143","237","4","16","0.2","-1925.625","6500","38.1","4","20","5.25","237","1","19","0.05","150","11000","43.7","2","59","7"
,"238","20","0","1","1075.375","0","48.25","57","0","5.55","238","20","0","1","243.875","375","34.05","50","0","5.95","238","20","0","1","156","1350","49.75","75","0","6.2","238","11","9","0.55","-204.54545454545453","3454.5454545454545","53.35","34","36","5.636363636363637","238","7","13","0.35","-601.4285714285714","5500","38.85","19","33","6.142857142857143","238","4","16","0.2","-1715.625","6750","38.1","4","20","5.25","238","1","19","0.05","100","11000","43.7","2","59","7"
,"239","20","0","1","1075.375","0","48.25","57","0","5.55","239","20","0","1","238.875","375","34.05","50","0","5.95","239","20","0","1","146","1350","49.75","75","0","6.2","239","11","9","0.55","-224.54545454545453","3454.5454545454545","53.35","34","36","5.636363636363637","239","7","13","0.35","-560","5571.428571428572","38.85","19","33","6.142857142857143","239","4","16","0.2","-1755.625","6750","38.1","4","20","5.25","239","1","19","0.05","50","11000","43.7","2","59","7"
,"240","20","0","1","1075.375","0","48.25","57","0","5.6","240","20","0","1","233.875","375","34.05","50","0","5.95","240","20","0","1","136","1350","49.75","75","0","6.2","240","11","9","0.55","-244.54545454545453","3454.5454545454545","53.35","34","36","5.636363636363637","240","7","13","0.35","-590","5571.428571428572","38.85","19","33","6.142857142857143","240","4","16","0.2","-1795.625","6750","38.1","4","20","5.25","240","1","19","0.05","0","11000","43.7","2","59","7"
,"241","20","0","1","1075.375","0","48.25","58","0","5.65","241","20","0","1","228.875","375","34.05","50","0","5.95","241","20","0","1","126","1350","49.75","75","0","6.2","241","11","9","0.55","-264.54545454545456","3454.5454545454545","53.35","34","36","5.636363636363637","241","7","13","0.35","-620","5571.428571428572","38.85","19","33","6.142857142857143","241","4","16","0.2","-1835.625","6750","38.1","4","20","5.25","241","1","19","0.05","450","11500","43.7","2","59","7"
,"242","20","0","1","1075.375","0","48.25","58","0","5.65","242","20","0","1","223.875","375","34.05","50","0","5.95","242","20","0","1","116","1350","49.75","75","0","6.2","242","10","10","0.5","-312","3450","53.35","31","39","5.6","242","7","13","0.35","-650","5571.428571428572","38.85","19","33","6.142857142857143","242","4","16","0.2","-1875.625","6750","38.1","4","20","5.25","242","1","19","0.05","400","11500","43.7","2","59","7"
,"243","20","0","1","1075.375","0","48.25","58","0","5.65","243","20","0","1","268.875","425","34.05","50","0","5.95","243","20","0","1","106","1350","49.75","75","0","6.2","243","10","10","0.5","-332","3450","53.35","31","39","5.6","243","7","13","0.35","-680","5571.428571428572","38.85","19","33","6.142857142857143","243","4","16","0.2","-1790.625","6875","38.1","4","20","5.25","243","1","19","0.05","350","11500","43.7","2","59","7"
,"244","20","0","1","1075.375","0","48.25","58","0","5.65","244","20","0","1","288.875","450","34.05","50","0","5.95","244","20","0","1","96","1350","49.75","75","0","6.2","244","10","10","0.5","-352","3450","53.35","31","39","5.6","244","7","13","0.35","-710","5571.428571428572","38.85","19","33","6.142857142857143","244","4","16","0.2","-1830.625","6875","38.1","4","20","5.25","244","1","19","0.05","300","11500","43.7","2","59","7"
,"245","20","0","1","1075.375","0","48.25","58","0","5.65","245","20","0","1","283.875","450","34.05","50","0","5.95","245","20","0","1","111","1375","49.75","75","0","6.2","245","10","10","0.5","-372","3450","53.35","31","39","5.6","245","7","13","0.35","-740","5571.428571428572","38.85","19","33","6.142857142857143","245","4","16","0.2","-1870.625","6875","38.1","4","20","5.25","245","1","19","0.05","250","11500","43.7","2","59","7"
,"246","20","0","1","1075.375","0","48.25","58","0","5.65","246","20","0","1","278.875","450","34.05","50","0","5.95","246","20","0","1","101","1375","49.75","75","0","6.2","246","10","10","0.5","-392","3450","53.35","31","39","5.6","246","7","13","0.35","-770","5571.428571428572","38.85","19","33","6.142857142857143","246","4","16","0.2","-1910.625","6875","38.1","4","20","5.25","246","1","19","0.05","200","11500","43.7","2","59","7"
,"247","20","0","1","1075.375","0","48.25","58","0","5.7","247","20","0","1","273.875","450","34.05","50","0","5.95","247","20","0","1","91","1375","49.75","75","0","6.2","247","10","10","0.5","-412","3450","53.35","31","39","5.6","247","7","13","0.35","-800","5571.428571428572","38.85","19","33","6.142857142857143","247","4","16","0.2","-1950.625","6875","38.1","4","20","5.25","247","1","19","0.05","150","11500","43.7","2","59","7"
,"248","20","0","1","1075.375","0","48.25","58","0","5.7","248","20","0","1","268.875","450","34.05","50","0","5.95","248","20","0","1","81","1375","49.75","75","0","6.2","248","10","10","0.5","-432","3450","53.35","31","39","5.6","248","7","13","0.35","-830","5571.428571428572","38.85","19","33","6.142857142857143","248","4","16","0.2","-1990.625","6875","38.1","4","20","5.25","248","1","19","0.05","100","11500","43.7","2","59","7"
,"249","20","0","1","1075.375","0","48.25","58","0","5.7","249","20","0","1","263.875","450","34.05","50","0","5.95","249","20","0","1","71","1375","49.75","75","0","6.2","249","10","10","0.5","-452","3450","53.35","31","39","5.6","249","7","13","0.35","-860","5571.428571428572","38.85","19","33","6.285714285714286","249","4","16","0.2","-2030.625","6875","38.1","4","20","5.25","249","1","19","0.05","50","11500","43.7","2","59","7"
,"250","20","0","1","1075.375","0","48.25","58","0","5.7","250","20","0","1","258.875","450","34.05","50","0","5.95","250","20","0","1","61","1375","49.75","75","0","6.2","250","9","11","0.45","-352.22222222222223","3611.1111111111113","53.35","21","49","5.222222222222222","250","7","13","0.35","-890","5571.428571428572","38.85","19","33","6.285714285714286","250","4","16","0.2","-2070.625","6875","38.1","4","20","5.25","250","1","19","0.05","0","11500","43.7","2","59","7"
,"251","20","0","1","1075.375","0","48.25","58","0","5.7","251","20","0","1","253.875","450","34.05","50","0","5.95","251","20","0","1","226","1550","49.75","75","0","6.2","251","8","12","0.4","-103.75","3875","53.35","18","52","5.25","251","7","13","0.35","-634.2857142857143","5857.142857142857","38.85","19","33","6.285714285714286","251","4","16","0.2","-1860.625","7125","38.1","4","20","5.25","251","1","19","0.05","450","12000","43.7","2","59","7"
,"252","20","0","1","1075.375","0","48.25","58","0","5.7","252","20","0","1","273.875","475","34.05","50","0","5.95","252","20","0","1","266","1600","49.75","75","0","6.2","252","8","12","0.4","-123.75","3875","53.35","18","52","5.375","252","7","13","0.35","-664.2857142857143","5857.142857142857","38.85","19","33","6.285714285714286","252","4","16","0.2","-1900.625","7125","38.1","4","20","5.25","252","1","19","0.05","400","12000","43.7","2","59","7"
,"253","20","0","1","1075.375","0","48.25","58","0","5.7","253","20","0","1","268.875","475","34.05","50","0","5.95","253","20","0","1","256","1600","49.75","75","0","6.2","253","8","12","0.4","-143.75","3875","53.35","18","52","5.375","253","7","13","0.35","-694.2857142857143","5857.142857142857","38.85","19","33","6.285714285714286","253","4","16","0.2","-1940.625","7125","38.1","4","20","5.25","253","1","19","0.05","350","12000","43.7","2","59","7"
,"254","20","0","1","1075.375","0","48.25","58","0","5.7","254","20","0","1","263.875","475","34.05","50","0","6","254","20","0","1","296","1650","49.75","75","0","6.2","254","8","12","0.4","-163.75","3875","53.35","18","52","5.375","254","7","13","0.35","-724.2857142857143","5857.142857142857","38.85","19","33","6.285714285714286","254","4","16","0.2","-1980.625","7125","38.1","4","20","5.25","254","1","19","0.05","300","12000","43.7","2","59","7"
,"255","20","0","1","1075.375","0","48.25","58","0","5.7","255","20","0","1","258.875","475","34.05","50","0","6","255","20","0","1","286","1650","49.75","75","0","6.2","255","8","12","0.4","-183.75","3875","53.35","18","52","5.375","255","7","13","0.35","-682.8571428571429","5928.571428571428","38.85","19","33","6.285714285714286","255","4","16","0.2","-2020.625","7125","38.1","4","20","5.25","255","1","19","0.05","250","12000","43.7","2","59","7"
,"256","20","0","1","1075.375","0","48.25","58","0","5.75","256","20","0","1","253.875","475","34.05","50","0","6","256","20","0","1","276","1650","49.75","75","0","6.2","256","8","12","0.4","-203.75","3875","53.35","18","52","5.375","256","7","13","0.35","-641.4285714285714","6000","38.85","19","33","6.285714285714286","256","4","16","0.2","-1935.625","7250","38.1","4","20","5.25","256","1","19","0.05","200","12000","43.7","2","59","7"
,"257","20","0","1","1075.375","0","48.25","58","0","5.75","257","20","0","1","248.875","475","34.05","50","0","6","257","20","0","1","266","1650","49.75","75","0","6.2","257","8","12","0.4","-161.25","3937.5","53.35","18","52","5.375","257","7","13","0.35","-671.4285714285714","6000","38.85","19","33","6.285714285714286","257","4","16","0.2","-1975.625","7250","38.1","4","20","5.25","257","1","19","0.05","150","12000","43.7","2","59","7"
,"258","20","0","1","1075.375","0","48.25","58","0","5.75","258","20","0","1","243.875","475","34.05","50","0","6","258","20","0","1","256","1650","49.75","75","0","6.2","258","8","12","0.4","-181.25","3937.5","53.35","18","52","5.375","258","7","13","0.35","-701.4285714285714","6000","38.85","19","33","6.428571428571429","258","4","16","0.2","-2015.625","7250","38.1","4","20","5.25","258","1","19","0.05","100","12000","43.7","2","59","7"
,"259","20","0","1","1075.375","0","48.25","58","0","5.75","259","20","0","1","238.875","475","34.05","50","0","6","259","20","0","1","246","1650","49.75","75","0","6.2","259","8","12","0.4","-201.25","3937.5","53.35","18","52","5.375","259","7","13","0.35","-731.4285714285714","6000","38.85","19","33","6.428571428571429","259","4","16","0.2","-2055.625","7250","38.1","4","20","5.25","259","1","19","0.05","50","12000","43.7","2","59","7"
,"260","20","0","1","1075.375","0","48.25","58","0","5.75","260","20","0","1","233.875","475","34.05","50","0","6","260","20","0","1","261","1675","49.75","75","0","6.2","260","8","12","0.4","-221.25","3937.5","53.35","18","52","5.375","260","7","13","0.35","-761.4285714285714","6000","38.85","19","33","6.428571428571429","260","4","16","0.2","-2095.625","7250","38.1","4","20","5.25","260","1","19","0.05","0","12000","43.7","2","59","7"
,"261","20","0","1","1075.375","0","48.25","58","0","5.75","261","20","0","1","228.875","475","34.05","50","0","6","261","20","0","1","251","1675","49.75","75","0","6.25","261","8","12","0.4","-178.75","4000","53.35","18","52","5.375","261","7","13","0.35","-791.4285714285714","6000","38.85","19","33","6.428571428571429","261","4","16","0.2","-2135.625","7250","38.1","4","20","5.25","261","0","20","0","0","0","43.7","0","61","0"
,"262","20","0","1","1075.375","0","48.25","58","0","5.75","262","20","0","1","223.875","475","34.05","50","0","6","262","20","0","1","241","1675","49.75","75","0","6.25","262","8","12","0.4","-198.75","4000","53.35","18","52","5.375","262","7","13","0.35","-821.4285714285714","6000","38.85","19","33","6.428571428571429","262","4","16","0.2","-2175.625","7250","38.1","4","20","5.25","262","0","20","0","0","0","43.7","0","61","0"
,"263","20","0","1","1075.375","0","48.25","58","0","5.75","263","20","0","1","218.875","475","34.05","50","0","6","263","20","0","1","231","1675","49.75","75","0","6.25","263","8","12","0.4","-218.75","4000","53.35","18","52","5.375","263","7","13","0.35","-851.4285714285714","6000","38.85","19","33","6.571428571428571","263","4","16","0.2","-1965.625","7500","38.1","4","20","5.25","263","0","20","0","0","0","43.7","0","61","0"
,"264","20","0","1","1075.375","0","48.25","58","0","5.75","264","20","0","1","213.875","475","34.05","50","0","6","264","20","0","1","221","1675","49.75","75","0","6.25","264","8","12","0.4","-238.75","4000","53.35","18","52","5.375","264","7","13","0.35","-881.4285714285714","6000","38.85","19","33","6.571428571428571","264","4","16","0.2","-2005.625","7500","38.1","4","20","5.25","264","0","20","0","0","0","43.7","0","61","0"
,"265","20","0","1","1075.375","0","48.25","58","0","5.75","265","20","0","1","208.875","475","34.05","50","0","6.05","265","20","0","1","236","1700","49.75","75","0","6.25","265","8","12","0.4","-258.75","4000","53.35","18","52","5.375","265","7","13","0.35","-911.4285714285714","6000","38.85","19","33","6.571428571428571","265","4","16","0.2","-2045.625","7500","38.1","4","20","5.25","265","0","20","0","0","0","43.7","0","61","0"
,"266","20","0","1","1075.375","0","48.25","58","0","5.75","266","20","0","1","203.875","475","34.05","50","0","6.05","266","20","0","1","251","1725","49.75","75","0","6.25","266","8","12","0.4","-278.75","4000","53.35","18","52","5.375","266","7","13","0.35","-941.4285714285714","6000","38.85","19","33","6.571428571428571","266","4","16","0.2","-2085.625","7500","38.1","4","20","5.25","266","0","20","0","0","0","43.7","0","61","0"
,"267","20","0","1","1075.375","0","48.25","58","0","5.8","267","20","0","1","198.875","475","34.05","50","0","6.05","267","20","0","1","266","1750","49.75","75","0","6.25","267","8","12","0.4","-298.75","4000","53.35","18","52","5.375","267","7","13","0.35","-685.7142857142857","6285.714285714285","38.85","22","33","6.714285714285714","267","4","16","0.2","-2125.625","7500","38.1","4","20","5.25","267","0","20","0","0","0","43.7","0","61","0"
,"268","20","0","1","1075.375","0","48.25","58","0","5.8","268","20","0","1","193.875","475","34.05","50","0","6.05","268","20","0","1","256","1750","49.75","75","0","6.3","268","8","12","0.4","-318.75","4000","53.35","18","52","5.375","268","7","13","0.35","-715.7142857142857","6285.714285714285","38.85","22","33","6.714285714285714","268","4","16","0.2","-2040.625","7625","38.1","4","20","5.25","268","0","20","0","0","0","43.7","0","61","0"
,"269","20","0","1","1075.375","0","48.25","63","0","5.85","269","20","0","1","188.875","475","34.05","50","0","6.05","269","20","0","1","246","1750","49.75","75","0","6.3","269","8","12","0.4","-338.75","4000","53.35","18","52","5.375","269","7","13","0.35","-745.7142857142857","6285.714285714285","38.85","22","33","6.714285714285714","269","4","16","0.2","-2080.625","7625","38.1","4","20","5.25","269","0","20","0","0","0","43.7","0","61","0"
,"270","20","0","1","1075.375","0","48.25","67","0","5.9","270","20","0","1","183.875","475","34.05","51","0","6.1","270","20","0","1","236","1750","49.75","75","0","6.3","270","8","12","0.4","-358.75","4000","53.35","18","52","5.375","270","7","13","0.35","-775.7142857142857","6285.714285714285","38.85","22","33","6.714285714285714","270","4","16","0.2","-2120.625","7625","38.1","4","20","5.25","270","0","20","0","0","0","43.7","0","61","0"
,"271","20","0","1","1075.375","0","48.25","67","0","5.9","271","20","0","1","178.875","475","34.05","51","0","6.1","271","20","0","1","251","1775","49.75","75","0","6.3","271","8","12","0.4","-378.75","4000","53.35","18","52","5.375","271","7","13","0.35","-734.2857142857143","6357.142857142857","38.85","22","33","6.714285714285714","271","4","16","0.2","-2160.625","7625","38.1","4","20","5.25","271","0","20","0","0","0","43.7","0","61","0"
,"272","20","0","1","1075.375","0","48.25","67","0","5.95","272","20","0","1","173.875","475","34.05","51","0","6.1","272","20","0","1","266","1800","49.75","75","0","6.3","272","8","12","0.4","-398.75","4000","53.35","18","52","5.375","272","7","13","0.35","-692.8571428571429","6428.571428571428","38.85","22","33","6.714285714285714","272","4","16","0.2","-2200.625","7625","38.1","4","20","5.25","272","0","20","0","0","0","43.7","0","61","0"
,"273","20","0","1","1075.375","0","48.25","67","0","5.95","273","20","0","1","168.875","475","34.05","51","0","6.1","273","20","0","1","256","1800","49.75","75","0","6.3","273","8","12","0.4","-418.75","4000","53.35","18","52","5.375","273","7","13","0.35","-722.8571428571429","6428.571428571428","38.85","22","33","6.714285714285714","273","4","16","0.2","-2240.625","7625","38.1","4","20","5.25","273","0","20","0","0","0","43.7","0","61","0"
,"274","20","0","1","1075.375","0","48.25","67","0","5.95","274","20","0","1","163.875","475","34.05","51","0","6.1","274","20","0","1","246","1800","49.75","75","0","6.3","274","8","12","0.4","-438.75","4000","53.35","18","52","5.375","274","7","13","0.35","-752.8571428571429","6428.571428571428","38.85","22","33","6.714285714285714","274","4","16","0.2","-2280.625","7625","38.1","4","20","5.25","274","0","20","0","0","0","43.7","0","61","0"
,"275","20","0","1","1075.375","0","48.25","67","0","5.95","275","20","0","1","158.875","475","34.05","51","0","6.1","275","20","0","1","236","1800","49.75","75","0","6.3","275","8","12","0.4","-458.75","4000","53.35","18","52","5.375","275","7","13","0.35","-782.8571428571429","6428.571428571428","38.85","22","33","6.714285714285714","275","4","16","0.2","-2320.625","7625","38.1","4","20","5.25","275","0","20","0","0","0","43.7","0","61","0"
,"276","20","0","1","1075.375","0","48.25","67","0","5.95","276","20","0","1","153.875","475","34.05","51","0","6.1","276","20","0","1","226","1800","49.75","75","0","6.3","276","8","12","0.4","-166.25","4312.5","53.35","18","52","5.375","276","7","13","0.35","-812.8571428571429","6428.571428571428","38.85","22","33","6.714285714285714","276","4","16","0.2","-2110.625","7875","38.1","4","20","5.25","276","0","20","0","0","0","43.7","0","61","0"
,"277","20","0","1","1075.375","0","48.25","67","0","5.95","277","20","0","1","148.875","475","34.05","51","0","6.1","277","20","0","1","241","1825","49.75","75","0","6.3","277","8","12","0.4","-186.25","4312.5","53.35","18","52","5.375","277","7","13","0.35","-842.8571428571429","6428.571428571428","38.85","22","33","6.714285714285714","277","4","16","0.2","-2150.625","7875","38.1","4","20","5.25","277","0","20","0","0","0","43.7","0","61","0"
,"278","20","0","1","1075.375","0","48.25","67","0","5.95","278","20","0","1","143.875","475","34.05","51","0","6.1","278","20","0","1","231","1825","49.75","75","0","6.3","278","8","12","0.4","-206.25","4312.5","53.35","18","52","5.375","278","7","13","0.35","-872.8571428571429","6428.571428571428","38.85","22","33","6.714285714285714","278","4","16","0.2","-2190.625","7875","38.1","4","20","5.25","278","0","20","0","0","0","43.7","0","61","0"
,"279","20","0","1","1075.375","0","48.25","67","0","6","279","20","0","1","138.875","475","34.05","51","0","6.1","279","20","0","1","221","1825","49.75","75","0","6.3","279","8","12","0.4","-226.25","4312.5","53.35","18","52","5.375","279","7","13","0.35","-902.8571428571429","6428.571428571428","38.85","22","33","6.714285714285714","279","4","16","0.2","-2230.625","7875","38.1","4","20","5.25","279","0","20","0","0","0","43.7","0","61","0"
,"280","20","0","1","1075.375","0","48.25","67","0","6.05","280","20","0","1","133.875","475","34.05","51","0","6.1","280","20","0","1","211","1825","49.75","75","0","6.3","280","8","12","0.4","-246.25","4312.5","53.35","18","52","5.375","280","7","13","0.35","-932.8571428571429","6428.571428571428","38.85","22","33","6.714285714285714","280","4","16","0.2","-2270.625","7875","38.1","4","20","5.25","280","0","20","0","0","0","43.7","0","61","0"
,"281","20","0","1","1075.375","0","48.25","67","0","6.05","281","20","0","1","128.875","475","34.05","51","0","6.15","281","20","0","1","201","1825","49.75","75","0","6.3","281","8","12","0.4","-266.25","4312.5","53.35","18","52","5.375","281","7","13","0.35","-962.8571428571429","6428.571428571428","38.85","22","33","6.714285714285714","281","4","16","0.2","-2185.625","8000","38.1","4","20","5.25","281","0","20","0","0","0","43.7","0","61","0"
