"[all run data]","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity"
,"1","20","0","1","1016.5","0","463.25","20","0","3.65","1","20","0","1","1007.375","0","325.3","14","0","4","1","20","0","1","1024.125","0","556","26","0","3.95","1","20","0","1","995","0","537.1","21","0","3.9","1","20","0","1","991.375","0","478.85","18","0","3.65","1","20","0","1","968.625","0","574.35","15","0","3.95","1","20","0","1","971","0","489.95","35","0","4.25"
,"2","20","0","1","1031.5","0","344.5","20","0","3.65","2","20","0","1","1006.875","0","232.8","14","0","4","2","20","0","1","1045.625","0","451","27","0","4","2","20","0","1","991.5","0","425.85","21","0","3.9","2","20","0","1","975.25","0","380.1","18","0","3.65","2","20","0","1","935.75","0","459.35","15","0","3.95","2","20","0","1","940.5","0","399.95","35","0","4.25"
,"3","20","0","1","1040.125","0","272","20","0","3.65","3","20","0","1","1012","0","164.05","14","0","4","3","20","0","1","1067.5","0","344.75","31","0","4.05","3","20","0","1","988","0","327.1","21","0","3.9","3","20","0","1","964","0","288.85","18","0","3.7","3","20","0","1","905.875","0","348.1","15","0","3.95","3","20","0","1","905.5","0","331.2","35","0","4.25"
,"4","20","0","1","1048.375","0","207","20","0","3.65","4","20","0","1","1014.875","0","114.05","23","0","4.1","4","20","0","1","1083.375","0","258.5","31","0","4.05","4","20","0","1","983","0","245.85","21","0","3.9","4","20","0","1","946","0","226.35","18","0","3.7","4","20","0","1","869.625","0","254.35","15","0","3.95","4","20","0","1","867.5","0","266.2","35","0","4.25"
,"5","20","0","1","1056.25","0","149.5","20","0","3.65","5","20","0","1","1021.875","0","74.05","23","0","4.1","5","20","0","1","1092.5","0","194.75","35","0","4.1","5","20","0","1","975","0","180.85","21","0","3.9","5","20","0","1","924.25","0","176.35","18","0","3.7","5","20","0","1","837.125","0","181.85","19","0","4","5","20","0","1","831","0","202.45","35","0","4.25"
,"6","20","0","1","1065.25","0","100.75","20","0","3.65","6","20","0","1","1021.375","0","59.05","23","0","4.1","6","20","0","1","1099.75","0","137.25","35","0","4.15","6","20","0","1","967","0","128.35","24","0","3.95","6","20","0","1","902.5","0","137.6","18","0","3.7","6","20","0","1","811.75","0","118.1","19","0","4","6","20","0","1","794.5","0","144.95","35","0","4.35"
,"7","20","0","1","1070.125","0","72","22","0","3.7","7","20","0","1","1019.375","0","49.05","23","0","4.1","7","20","0","1","1104","0","89.75","35","0","4.2","7","20","0","1","958.25","0","90.85","24","0","3.95","7","20","0","1","880.75","0","100.1","18","0","3.7","7","20","0","1","778.5","0","75.6","19","0","4","7","20","0","1","755","0","103.7","35","0","4.35"
,"8","20","0","1","1075.375","0","48.25","22","0","3.7","8","20","0","1","1015.875","0","44.05","23","0","4.1","8","20","0","1","1104.5","0","54.75","35","0","4.2","8","20","0","1","946.5","0","63.35","24","0","3.95","8","20","0","1","858.625","0","68.85","18","0","3.7","8","20","0","1","741.875","0","54.35","19","0","4","8","20","0","1","714","0","73.7","35","0","4.35"
,"9","20","0","1","1075.375","0","48.25","22","0","3.75","9","20","0","1","1012.375","0","39.05","23","0","4.1","9","20","0","1","1096","0","49.75","35","0","4.25","9","20","0","1","929.5","0","53.35","24","0","4","9","20","0","1","833.125","0","48.85","18","0","3.7","9","20","0","1","703.75","0","43.1","19","0","4","9","20","0","1","668.5","0","58.7","35","0","4.35"
,"10","20","0","1","1075.375","0","48.25","22","0","3.75","10","20","0","1","1008.875","0","34.05","23","0","4.1","10","20","0","1","1086","0","49.75","35","0","4.25","10","20","0","1","909.5","0","53.35","27","0","4.05","10","20","0","1","806.125","0","38.85","18","0","3.7","10","20","0","1","663.75","0","38.1","19","0","4.05","10","20","0","1","623","0","43.7","35","0","4.35"
,"11","20","0","1","1075.375","0","48.25","22","0","3.75","11","20","0","1","1003.875","0","34.05","23","0","4.1","11","20","0","1","1076","0","49.75","35","0","4.25","11","20","0","1","889.5","0","53.35","27","0","4.05","11","20","0","1","776.125","0","38.85","18","0","3.75","11","20","0","1","623.75","0","38.1","19","0","4.05","11","20","0","1","573","0","43.7","41","0","4.4"
,"12","20","0","1","1075.375","0","48.25","22","0","3.8","12","20","0","1","998.875","0","34.05","24","0","4.15","12","20","0","1","1066","0","49.75","35","0","4.25","12","20","0","1","869.5","0","53.35","27","0","4.05","12","20","0","1","746.125","0","38.85","18","0","3.75","12","20","0","1","583.75","0","38.1","19","0","4.05","12","20","0","1","523","0","43.7","47","0","4.45"
,"13","20","0","1","1075.375","0","48.25","22","0","3.8","13","20","0","1","993.875","0","34.05","24","0","4.15","13","20","0","1","1056","0","49.75","35","0","4.3","13","20","0","1","849.5","0","53.35","27","0","4.05","13","20","0","1","716.125","0","38.85","18","0","3.75","13","20","0","1","543.75","0","38.1","19","0","4.1","13","20","0","1","473","0","43.7","47","0","4.45"
,"14","20","0","1","1075.375","0","48.25","22","0","3.8","14","20","0","1","988.875","0","34.05","24","0","4.15","14","20","0","1","1046","0","49.75","35","0","4.3","14","20","0","1","829.5","0","53.35","27","0","4.1","14","20","0","1","686.125","0","38.85","18","0","3.8","14","20","0","1","503.75","0","38.1","19","0","4.1","14","20","0","1","423","0","43.7","47","0","4.45"
,"15","20","0","1","1075.375","0","48.25","22","0","3.8","15","20","0","1","983.875","0","34.05","24","0","4.15","15","20","0","1","1036","0","49.75","35","0","4.3","15","20","0","1","809.5","0","53.35","27","0","4.1","15","20","0","1","656.125","0","38.85","18","0","3.8","15","20","0","1","463.75","0","38.1","19","0","4.1","15","20","0","1","373","0","43.7","47","0","4.45"
,"16","20","0","1","1075.375","0","48.25","22","0","3.8","16","20","0","1","978.875","0","34.05","30","0","4.2","16","20","0","1","1026","0","49.75","35","0","4.3","16","20","0","1","789.5","0","53.35","27","0","4.1","16","20","0","1","626.125","0","38.85","18","0","3.8","16","20","0","1","423.75","0","38.1","19","0","4.1","16","20","0","1","323","0","43.7","47","0","4.5"
,"17","20","0","1","1075.375","0","48.25","22","0","3.8","17","20","0","1","973.875","0","34.05","32","0","4.25","17","20","0","1","1016","0","49.75","35","0","4.3","17","20","0","1","769.5","0","53.35","27","0","4.1","17","20","0","1","596.125","0","38.85","18","0","3.8","17","20","0","1","383.75","0","38.1","19","0","4.1","17","20","0","1","273","0","43.7","47","0","4.5"
,"18","20","0","1","1075.375","0","48.25","22","0","3.8","18","20","0","1","968.875","0","34.05","32","0","4.3","18","20","0","1","1006","0","49.75","35","0","4.35","18","20","0","1","749.5","0","53.35","27","0","4.1","18","20","0","1","566.125","0","38.85","18","0","3.85","18","20","0","1","343.75","0","38.1","19","0","4.1","18","20","0","1","223","0","43.7","47","0","4.5"
,"19","20","0","1","1075.375","0","48.25","22","0","3.8","19","20","0","1","963.875","0","34.05","32","0","4.3","19","20","0","1","996","0","49.75","35","0","4.35","19","20","0","1","729.5","0","53.35","27","0","4.15","19","20","0","1","536.125","0","38.85","18","0","3.85","19","20","0","1","303.75","0","38.1","19","0","4.1","19","20","0","1","173","0","43.7","47","0","4.55"
,"20","20","0","1","1075.375","0","48.25","22","0","3.8","20","20","0","1","958.875","0","34.05","32","0","4.3","20","20","0","1","986","0","49.75","35","0","4.35","20","20","0","1","709.5","0","53.35","27","0","4.15","20","20","0","1","506.125","0","38.85","18","0","3.85","20","20","0","1","263.75","0","38.1","19","0","4.15","20","20","0","1","123","0","43.7","47","0","4.55"
,"21","20","0","1","1075.375","0","48.25","22","0","3.8","21","20","0","1","953.875","0","34.05","32","0","4.3","21","20","0","1","976","0","49.75","35","0","4.35","21","20","0","1","689.5","0","53.35","27","0","4.15","21","20","0","1","476.125","0","38.85","18","0","3.85","21","20","0","1","223.75","0","38.1","19","0","4.15","21","20","0","1","198","125","43.7","47","0","4.55"
,"22","20","0","1","1075.375","0","48.25","22","0","3.9","22","20","0","1","948.875","0","34.05","32","0","4.3","22","20","0","1","966","0","49.75","35","0","4.35","22","20","0","1","669.5","0","53.35","27","0","4.15","22","20","0","1","446.125","0","38.85","18","0","3.85","22","20","0","1","183.75","0","38.1","19","0","4.15","22","20","0","1","173","150","43.7","48","0","4.6"
,"23","20","0","1","1075.375","0","48.25","22","0","3.9","23","20","0","1","943.875","0","34.05","32","0","4.3","23","20","0","1","956","0","49.75","35","0","4.35","23","20","0","1","649.5","0","53.35","27","0","4.15","23","20","0","1","416.125","0","38.85","18","0","3.85","23","20","0","1","143.75","0","38.1","19","0","4.15","23","20","0","1","198","225","43.7","48","0","4.6"
,"24","20","0","1","1075.375","0","48.25","22","0","3.95","24","20","0","1","938.875","0","34.05","32","0","4.3","24","20","0","1","946","0","49.75","35","0","4.35","24","20","0","1","629.5","0","53.35","27","0","4.15","24","20","0","1","386.125","0","38.85","18","0","3.85","24","20","0","1","103.75","0","38.1","19","0","4.15","24","20","0","1","173","250","43.7","48","0","4.6"
,"25","20","0","1","1075.375","0","48.25","23","0","4","25","20","0","1","933.875","0","34.05","32","0","4.3","25","20","0","1","936","0","49.75","35","0","4.35","25","20","0","1","609.5","0","53.35","27","0","4.15","25","20","0","1","356.125","0","38.85","18","0","3.9","25","20","0","1","63.75","0","38.1","19","0","4.15","25","20","0","1","148","275","43.7","48","0","4.6"
,"26","20","0","1","1075.375","0","48.25","23","0","4","26","20","0","1","928.875","0","34.05","32","0","4.3","26","20","0","1","926","0","49.75","40","0","4.4","26","20","0","1","589.5","0","53.35","27","0","4.15","26","20","0","1","326.125","0","38.85","20","0","3.95","26","20","0","1","198.75","175","38.1","19","0","4.15","26","20","0","1","98","275","43.7","48","0","4.6"
,"27","20","0","1","1075.375","0","48.25","28","0","4.05","27","20","0","1","923.875","0","34.05","32","0","4.3","27","20","0","1","916","0","49.75","40","0","4.4","27","20","0","1","569.5","0","53.35","27","0","4.15","27","20","0","1","296.125","0","38.85","20","0","3.95","27","20","0","1","283.75","300","38.1","19","0","4.15","27","20","0","1","48","275","43.7","48","0","4.65"
,"28","20","0","1","1075.375","0","48.25","28","0","4.05","28","20","0","1","918.875","0","34.05","32","0","4.3","28","20","0","1","906","0","49.75","44","0","4.45","28","20","0","1","549.5","0","53.35","27","0","4.15","28","20","0","1","266.125","0","38.85","20","0","4","28","20","0","1","243.75","300","38.1","19","0","4.15","28","20","0","1","23","300","43.7","48","0","4.65"
,"29","20","0","1","1075.375","0","48.25","28","0","4.05","29","20","0","1","913.875","0","34.05","32","0","4.3","29","20","0","1","896","0","49.75","44","0","4.45","29","20","0","1","529.5","0","53.35","27","0","4.15","29","20","0","1","236.125","0","38.85","22","0","4.1","29","20","0","1","228.75","325","38.1","19","0","4.15","29","20","0","1","-2","325","43.7","48","0","4.65"
,"30","20","0","1","1075.375","0","48.25","28","0","4.05","30","20","0","1","908.875","0","34.05","32","0","4.35","30","20","0","1","886","0","49.75","44","0","4.45","30","20","0","1","509.5","0","53.35","27","0","4.15","30","20","0","1","206.125","0","38.85","22","0","4.1","30","20","0","1","188.75","325","38.1","19","0","4.2","30","20","0","1","-52","325","43.7","48","0","4.65"
,"31","20","0","1","1075.375","0","48.25","28","0","4.1","31","20","0","1","903.875","0","34.05","32","0","4.35","31","20","0","1","876","0","49.75","44","0","4.45","31","20","0","1","489.5","0","53.35","27","0","4.2","31","20","0","1","176.125","0","38.85","22","0","4.1","31","20","0","1","173.75","350","38.1","19","0","4.25","31","20","0","1","148","575","43.7","48","0","4.65"
,"32","20","0","1","1075.375","0","48.25","28","0","4.1","32","20","0","1","898.875","0","34.05","32","0","4.35","32","20","0","1","866","0","49.75","44","0","4.45","32","20","0","1","469.5","0","53.35","27","0","4.2","32","20","0","1","146.125","0","38.85","22","0","4.1","32","20","0","1","133.75","350","38.1","19","0","4.25","32","20","0","1","148","625","43.7","48","0","4.65"
,"33","20","0","1","1075.375","0","48.25","28","0","4.1","33","20","0","1","893.875","0","34.05","32","0","4.35","33","20","0","1","856","0","49.75","44","0","4.45","33","20","0","1","449.5","0","53.35","27","0","4.2","33","20","0","1","116.125","0","38.85","22","0","4.15","33","20","0","1","143.75","400","38.1","19","0","4.25","33","20","0","1","123","650","43.7","48","0","4.7"
,"34","20","0","1","1075.375","0","48.25","28","0","4.1","34","20","0","1","888.875","0","34.05","32","0","4.35","34","20","0","1","846","0","49.75","44","0","4.45","34","20","0","1","429.5","0","53.35","27","0","4.2","34","20","0","1","286.125","200","38.85","22","0","4.15","34","20","0","1","128.75","425","38.1","19","0","4.25","34","20","0","1","123","700","43.7","48","0","4.75"
,"35","20","0","1","1075.375","0","48.25","28","0","4.1","35","20","0","1","883.875","0","34.05","32","0","4.35","35","20","0","1","836","0","49.75","44","0","4.45","35","20","0","1","409.5","0","53.35","27","0","4.2","35","20","0","1","281.125","225","38.85","22","0","4.15","35","20","0","1","88.75","425","38.1","19","0","4.25","35","20","0","1","98","725","43.7","48","0","4.75"
,"36","20","0","1","1075.375","0","48.25","28","0","4.1","36","20","0","1","878.875","0","34.05","32","0","4.35","36","20","0","1","826","0","49.75","44","0","4.45","36","20","0","1","389.5","0","53.35","27","0","4.2","36","20","0","1","276.125","250","38.85","22","0","4.15","36","20","0","1","48.75","425","38.1","19","0","4.25","36","20","0","1","48","725","43.7","48","0","4.75"
,"37","20","0","1","1075.375","0","48.25","28","0","4.1","37","20","0","1","873.875","0","34.05","32","0","4.35","37","20","0","1","816","0","49.75","44","0","4.45","37","20","0","1","369.5","0","53.35","27","0","4.2","37","20","0","1","246.125","250","38.85","22","0","4.2","37","20","0","1","58.75","475","38.1","19","0","4.25","37","20","0","1","-2","725","43.7","48","0","4.75"
,"38","20","0","1","1075.375","0","48.25","28","0","4.1","38","20","0","1","868.875","0","34.05","32","0","4.35","38","20","0","1","806","0","49.75","44","0","4.45","38","20","0","1","349.5","0","53.35","27","0","4.2","38","20","0","1","341.125","375","38.85","22","0","4.2","38","20","0","1","193.75","650","38.1","19","0","4.25","38","20","0","1","-52","725","43.7","48","0","4.75"
,"39","20","0","1","1075.375","0","48.25","30","0","4.15","39","20","0","1","863.875","0","34.05","32","0","4.35","39","20","0","1","796","0","49.75","44","0","4.45","39","20","0","1","329.5","0","53.35","27","0","4.25","39","20","0","1","361.125","425","38.85","22","0","4.2","39","20","0","1","203.75","700","38.1","19","0","4.25","39","20","0","1","-102","725","43.7","48","0","4.75"
