[run number],operating-cost,[reporter],[final],[min],[max],[mean],[total steps]
119,,count sellers,0,0,20,4.348651348651349,1000
119,,exited-sellers,20,0,20,15.651348651348652,1000
119,,survival-rate,0,0,1,0.21743256743256872,1000
119,,mean-cash,0,0,1000,108.21803737388161,1000
119,,mean-debt,0,0,7000,1295.2990191626557,1000
119,,mean-buyer-budget,43.3,43.3,498.3,44.731068931069345,1000
119,,count offers,0,0,42,5.764235764235765,1000
119,,link-loss,48,0,48,38.18981018981019,1000
119,,mean-complexity,0,0,6,2.0451834060600262,1000
120,20,[step],1000,0,1000,500,1000
120,,count sellers,1,1,20,5.232767232767233,1000
120,,exited-sellers,19,0,19,14.767232767232768,1000
120,,survival-rate,0.05,0.05,1,0.2616383616383661,1000
120,,mean-cash,55,15,1000,262.7318837714067,1000
120,,mean-debt,18500,0,18500,8870.428044316655,1000
120,,mean-buyer-budget,42.25,42.25,723.5,44.78746253746254,1000
120,,count offers,10,10,36,15.781218781218781,1000
120,,link-loss,41,0,41,29.35964035964036,1000
120,,mean-complexity,10,3.65,10,8.38558903633829,1000
121,30,[step],1000,0,1000,500,1000
121,,count sellers,1,1,20,5.2267732267732265,1000
121,,exited-sellers,19,0,19,14.773226773226773,1000
121,,survival-rate,0.05,0.05,1,0.26133866133866174,1000
121,,mean-cash,-29000,-29000,1000,-8520.943655703271,1000
121,,mean-debt,0,0,12666.666666666666,5445.391750274375,1000
121,,mean-buyer-budget,30.7,30.7,570.7,32.62182817182872,1000
121,,count offers,0,0,39,7.136863136863137,1000
121,,link-loss,51,0,51,38.95804195804196,1000
121,,mean-complexity,4,4,6.333333333333333,5.084586733612706,1000
122,30,[step],1000,0,1000,500,1000
122,,count sellers,1,1,20,4.656343656343656,1000
122,,exited-sellers,19,0,19,15.343656343656344,1000
122,,survival-rate,0.05,0.05,1,0.2328171828171889,1000
122,,mean-cash,270,-3580,1000,-524.2010504382691,1000
122,,mean-debt,29000,0,29000,13298.845856377664,1000
122,,mean-buyer-budget,49.45,49.45,559.45,51.314385614384854,1000
122,,count offers,10,5,37,11.935064935064934,1000
122,,link-loss,44,0,44,35.3056943056943,1000
122,,mean-complexity,10,4.45,10,7.696312295518223,1000
123,30,[step],1000,0,1000,500,1000
123,,count sellers,0,0,20,3.7132867132867133,1000
123,,exited-sellers,20,0,20,16.286713286713287,1000
123,,survival-rate,0,0,1,0.18566433566434,1000
123,,mean-cash,0,-20655,1000,-7087.541845938459,1000
123,,mean-debt,0,0,5000,1434.858342451852,1000
123,,mean-buyer-budget,45.15,45.15,640.15,47.448951048951955,1000
123,,count offers,0,0,34,11.956043956043956,1000
123,,link-loss,50,0,50,34.69530469530469,1000
123,,mean-complexity,0,0,10,6.3483003361580685,1000
124,30,[step],1000,0,1000,500,1000
124,,count sellers,0,0,20,2.966033966033966,1000
124,,exited-sellers,20,0,20,17.033966033966035,1000
124,,survival-rate,0,0,1,0.14830169830169845,1000
124,,mean-cash,0,0,1003,70.59180727281375,1000
124,,mean-debt,0,0,6500,711.6590119836872,1000
124,,mean-buyer-budget,47,47,668.25,49.47377622377623,1000
124,,count offers,0,0,62,8.043956043956044,1000
124,,link-loss,62,0,62,51.5044955044955,1000
124,,mean-complexity,0,0,7.428571428571429,1.3782165886061986,1000
125,30,[step],1000,0,1000,500,1000
125,,count sellers,2,2,20,5.591408591408592,1000
125,,exited-sellers,18,0,18,14.408591408591409,1000
125,,survival-rate,0.1,0.1,1,0.27957042957043327,1000
125,,mean-cash,5,-55125,1000,246.85495577516284,1000
125,,mean-debt,28750,0,28750,14084.612831391036,1000
125,,mean-buyer-budget,43.1,43.1,596.85,45.05554445554359,1000
125,,count offers,14,7,48,15.82017982017982,1000
125,,link-loss,55,0,55,40.56843156843157,1000
125,,mean-complexity,9,4.142857142857143,9,6.445717635677667,1000
126,30,[step],1000,0,1000,500,1000
126,,count sellers,0,0,20,3.5384615384615383,1000
126,,exited-sellers,20,0,20,16.46153846153846,1000
126,,survival-rate,0,0,1,0.17692307692308007,1000
126,,mean-cash,0,-3,1000,171.99937333728545,1000
126,,mean-debt,0,0,19500,6477.7175205746635,1000
126,,mean-buyer-budget,38.7,38.7,622.45,40.960239760239574,1000
126,,count offers,0,0,30,5.206793206793207,1000
126,,link-loss,38,0,38,29.146853146853147,1000
126,,mean-complexity,0,0,7,3.7559101155255,1000
127,30,[step],1000,0,1000,500,1000
127,,count sellers,0,0,20,3.3046953046953047,1000
127,,exited-sellers,20,0,20,16.695304695304696,1000
127,,survival-rate,0,0,1,0.16523476523477054,1000
127,,mean-cash,0,0,1000,163.8377548123427,1000
127,,mean-debt,0,0,17500,5325.604462692375,1000
127,,mean-buyer-budget,38.6,38.6,644.85,40.63921078920999,1000
127,,count offers,0,0,58,11.546453546453547,1000
127,,link-loss,64,0,64,49.34665334665335,1000
127,,mean-complexity,0,0,10,5.588257956939276,1000
128,30,[step],1000,0,1000,500,1000
128,,count sellers,0,0,20,3.5154845154845153,1000
128,,exited-sellers,20,0,20,16.484515484515484,1000
128,,survival-rate,0,0,1,0.17577422577422708,1000
128,,mean-cash,0,-4500,1000,-561.9819201777243,1000
128,,mean-debt,0,0,17500,4511.219025729515,1000
128,,mean-buyer-budget,38.5,38.5,734.75,41.17482517482517,1000
128,,count offers,0,0,18,2.8871128871128873,1000
128,,link-loss,26,0,26,21.244755244755243,1000
128,,mean-complexity,0,0,7,3.4179353862920294,1000
129,30,[step],1000,0,1000,500,1000
129,,count sellers,0,0,20,3.10989010989011,1000
129,,exited-sellers,20,0,20,16.89010989010989,1000
129,,survival-rate,0,0,1,0.15549450549450686,1000
129,,mean-cash,0,-7440,1000,-788.9155718231349,1000
129,,mean-debt,0,0,3750,668.6882445285811,1000
129,,mean-buyer-budget,43.4,43.4,672.15,45.78636363636453,1000
129,,count offers,0,0,16,2.681318681318681,1000
129,,link-loss,23,0,23,19.057942057942057,1000
129,,mean-complexity,0,0,6.666666666666667,1.8805900565354343,1000
130,30,[step],1000,0,1000,500,1000
130,,count sellers,1,1,20,3.8811188811188813,1000
130,,exited-sellers,19,0,19,16.11888111888112,1000
130,,survival-rate,0.05,0.05,1,0.19405594405595,1000
130,,mean-cash,-27500,-27500,1000,-12357.196984980113,1000
130,,mean-debt,1500,0,5500,1606.3872617363245,1000
130,,mean-buyer-budget,48.5,48.5,503.5,50.02597402597402,1000
130,,count offers,3,2,56,9.835164835164836,1000
130,,link-loss,59,0,59,49.142857142857146,1000
130,,mean-complexity,7,3.8,7,5.986850156953583,1000
131,30,[step],1000,0,1000,500,1000
131,,count sellers,1,1,20,3.984015984015984,1000
131,,exited-sellers,19,0,19,16.015984015984017,1000
131,,survival-rate,0.05,0.05,1,0.19920079920080788,1000
131,,mean-cash,-28500,-28500,1000,-13032.953103672884,1000
131,,mean-debt,500,0,4333.333333333333,958.6737438385798,1000
131,,mean-buyer-budget,47.35,47.35,494.85,48.817282717281806,1000
131,,count offers,2,0,34,5.512487512487512,1000
131,,link-loss,46,0,46,38.077922077922075,1000
131,,mean-complexity,8,3.7,8,6.051522653171004,1000
132,30,[step],1000,0,1000,500,1000
132,,count sellers,0,0,20,3.4045954045954048,1000
132,,exited-sellers,20,0,20,16.595404595404595,1000
132,,survival-rate,0,0,1,0.17022977022977348,1000
132,,mean-cash,0,0,1000,149.95129562412282,1000
132,,mean-debt,0,0,16500,4645.774945999722,1000
132,,mean-buyer-budget,41.35,41.35,500.1,42.777322677321855,1000
132,,count offers,0,0,32,4.9010989010989015,1000
132,,link-loss,41,0,41,32.98301698301698,1000
132,,mean-complexity,0,0,6.5,3.0027562347742127,1000
133,30,[step],1000,0,1000,500,1000
133,,count sellers,0,0,20,3.6773226773226773,1000
133,,exited-sellers,20,0,20,16.322677322677322,1000
133,,survival-rate,0,0,1,0.18386613386613163,1000
133,,mean-cash,0,-13080,1000,-1424.7957903596016,1000
133,,mean-debt,0,0,8500,2318.292236124404,1000
133,,mean-buyer-budget,46.45,46.45,607.7,48.37307692307631,1000
133,,count offers,0,0,26,4.213786213786213,1000
133,,link-loss,32,0,32,25.532467532467532,1000
133,,mean-complexity,0,0,5.5,2.3758691580369895,1000
134,30,[step],1000,0,1000,500,1000
134,,count sellers,1,1,20,3.5874125874125875,1000
134,,exited-sellers,19,0,19,16.412587412587413,1000
134,,survival-rate,0.05,0.05,1,0.1793706293706372,1000
134,,mean-cash,0,0,1002.25,251.85212568816468,1000
134,,mean-debt,29000,0,29000,14182.511211731991,1000
134,,mean-buyer-budget,46.65,46.65,696.65,49.547102897103834,1000
134,,count offers,0,0,60,7.27072927072927,1000
134,,link-loss,66,0,66,55.74025974025974,1000
134,,mean-complexity,4,3,6.6,3.782979250187042,1000
135,30,[step],1000,0,1000,500,1000
135,,count sellers,0,0,20,3.2397602397602396,1000
135,,exited-sellers,20,0,20,16.76023976023976,1000
135,,survival-rate,0,0,1,0.16198801198801213,1000
135,,mean-cash,0,-10830,1000,-1492.1477451120306,1000
135,,mean-debt,0,0,5250,1184.5761381475666,1000
135,,mean-buyer-budget,44.05,44.05,682.8,46.458841158841686,1000
135,,count offers,0,0,37,7.317682317682317,1000
135,,link-loss,37,0,37,28.583416583416582,1000
135,,mean-complexity,0,0,8.25,3.116459730745445,1000
136,30,[step],1000,0,1000,500,1000
136,,count sellers,2,2,20,5.602397602397603,1000
136,,exited-sellers,18,0,18,14.397602397602398,1000
136,,survival-rate,0.1,0.1,1,0.28011988011988265,1000
136,,mean-cash,-13500,-13500,1000,-5432.100770938848,1000
136,,mean-debt,15500,0,15500,8539.12868560794,1000
136,,mean-buyer-budget,41.95,41.95,694.45,44.44125874125833,1000
136,,count offers,14,1,31,10.07992007992008,1000
136,,link-loss,41,0,41,30.85214785214785,1000
136,,mean-complexity,8,4.25,8,6.281391900493392,1000
137,30,[step],1000,0,1000,500,1000
137,,count sellers,0,0,20,2.896103896103896,1000
137,,exited-sellers,20,0,20,17.103896103896105,1000
137,,survival-rate,0,0,1,0.1448051948051953,1000
137,,mean-cash,0,-52125,1000,53.78794339817691,1000
137,,mean-debt,0,0,5500,523.4797711446063,1000
137,,mean-buyer-budget,39.8,39.8,522.3,41.3859140859143,1000
137,,count offers,0,0,43,4.65934065934066,1000
137,,link-loss,43,0,43,36.31368631368631,1000
137,,mean-complexity,0,0,7,1.0918903440881442,1000
138,30,[step],1000,0,1000,500,1000
138,,count sellers,1,1,20,5.7622377622377625,1000
138,,exited-sellers,19,0,19,14.237762237762238,1000
138,,survival-rate,0.05,0.05,1,0.2881118881118874,1000
138,,mean-cash,-28410,-28410,1000,-6674.982203693744,1000
138,,mean-debt,500,0,16500,7255.298273155417,1000
138,,mean-buyer-budget,45.5,45.5,523,47.13211788211788,1000
138,,count offers,6,6,39,17.006993006993007,1000
138,,link-loss,51,0,51,34.5044955044955,1000
138,,mean-complexity,9,3.9,9,6.898047312882425,1000
139,30,[step],1000,0,1000,500,1000
139,,count sellers,1,1,20,3.8811188811188813,1000
139,,exited-sellers,19,0,19,16.11888111888112,1000
139,,survival-rate,0.05,0.05,1,0.19405594405595086,1000
139,,mean-cash,-26130,-26130,1000,-11624.972795602665,1000
139,,mean-debt,2000,0,3250,1707.2487036772752,1000
139,,mean-buyer-budget,58.35,58.35,643.35,60.64770229770127,1000
139,,count offers,10,10,64,16.257742257742258,1000
139,,link-loss,54,0,54,46.48851148851149,1000
139,,mean-complexity,10,4.65,10,8.769866497139224,1000
140,30,[step],1000,0,1000,500,1000
140,,count sellers,0,0,20,4.481518481518481,1000
140,,exited-sellers,20,0,20,15.518481518481519,1000
140,,survival-rate,0,0,1,0.2240759240759238,1000
140,,mean-cash,0,-86.25,1000,152.9494819823862,1000
140,,mean-debt,0,0,18000,5773.87919689369,1000
140,,mean-buyer-budget,34.95,34.95,533.7,36.52717282717299,1000
140,,count offers,0,0,47,11.999000999001,1000
140,,link-loss,64,0,64,43.043956043956044,1000
140,,mean-complexity,0,0,10,4.299409842017229,1000
141,30,[step],1000,0,1000,500,1000
141,,count sellers,0,0,20,3.958041958041958,1000
141,,exited-sellers,20,0,20,16.041958041958043,1000
141,,survival-rate,0,0,1,0.19790209790210034,1000
141,,mean-cash,0,0,1000,158.00096323229408,1000
141,,mean-debt,0,0,16500,4815.46082677451,1000
141,,mean-buyer-budget,42.1,42.1,602.1,44.16918081917996,1000
141,,count offers,0,0,57,14.850149850149851,1000
141,,link-loss,70,0,70,51.20979020979021,1000
141,,mean-complexity,0,0,10,4.824060962347682,1000
142,30,[step],1000,0,1000,500,1000
142,,count sellers,2,2,20,5.619380619380619,1000
142,,exited-sellers,18,0,18,14.38061938061938,1000
142,,survival-rate,0.1,0.1,1,0.28096903096903836,1000
142,,mean-cash,-13820,-13820,1000,-5266.254886919802,1000
142,,mean-debt,15000,0,15000,8554.480043765756,1000
142,,mean-buyer-budget,45.5,45.5,683,47.922577422577426,1000
142,,count offers,17,15,35,20.816183816183816,1000
142,,link-loss,32,0,32,23.306693306693308,1000
142,,mean-complexity,9,4.3,9,7.239539760677458,1000
143,30,[step],1000,0,1000,500,1000
143,,count sellers,0,0,20,4.203796203796204,1000
143,,exited-sellers,20,0,20,15.796203796203796,1000
143,,survival-rate,0,0,1,0.21018981018981023,1000
143,,mean-cash,0,-18322.5,1000,-3502.563111131293,1000
143,,mean-debt,0,0,10500,3890.304608811103,1000
143,,mean-buyer-budget,45.4,45.4,615.4,47.6902097902107,1000
143,,count offers,0,0,36,10.533466533466534,1000
143,,link-loss,46,0,46,32.484515484515484,1000
143,,mean-complexity,0,0,10,4.999022406165269,1000
144,30,[step],1000,0,1000,500,1000
144,,count sellers,1,1,20,3.7062937062937062,1000
144,,exited-sellers,19,0,19,16.293706293706293,1000
144,,survival-rate,0.05,0.05,1,0.18531468531469433,1000
144,,mean-cash,0,0,1000,248.10212902177193,1000
144,,mean-debt,29000,0,29000,14219.900535971965,1000
144,,mean-buyer-budget,40.15,40.15,708.9,42.789860139860984,1000
144,,count offers,3,0,42,6.8901098901098905,1000
144,,link-loss,53,0,53,44.44055944055944,1000
144,,mean-complexity,7,4.45,7.25,6.191711463140035,1000
145,30,[step],1000,0,1000,500,1000
145,,count sellers,0,0,20,3.877122877122877,1000
145,,exited-sellers,20,0,20,16.122877122877124,1000
145,,survival-rate,0,0,1,0.19385614385614475,1000
145,,mean-cash,0,0,1000,143.3657935471123,1000
145,,mean-debt,0,0,16000,4368.92992538597,1000
145,,mean-buyer-budget,51.25,51.25,501.25,52.704795204795204,1000
145,,count offers,0,0,34,6.103896103896104,1000
145,,link-loss,44,0,44,34.53846153846154,1000
145,,mean-complexity,0,0,6,3.0846580769657734,1000
146,30,[step],1000,0,1000,500,1000
146,,count sellers,0,0,20,3.2157842157842156,1000
146,,exited-sellers,20,0,20,16.784215784215785,1000
146,,survival-rate,0,0,1,0.1607892107892109,1000
146,,mean-cash,0,-5070,1000,-137.30563958186332,1000
146,,mean-debt,0,0,5666.666666666667,850.1445441005877,1000
146,,mean-buyer-budget,37.1,37.1,730.85,40.01708291708211,1000
146,,count offers,0,0,42,7.544455544455545,1000
146,,link-loss,54,0,54,43.13886113886114,1000
146,,mean-complexity,0,0,10,1.866569810475908,1000
147,30,[step],1000,0,1000,500,1000
147,,count sellers,1,1,20,4.508491508491509,1000
147,,exited-sellers,19,0,19,15.491508491508492,1000
147,,survival-rate,0.05,0.05,1,0.22542457542457953,1000
147,,mean-cash,0,0,1005625,257.05032323376446,1000
147,,mean-debt,29000,0,29000,14181.955400299554,1000
147,,mean-buyer-budget,47.4,47.4,643.65,49.6215284715294,1000
147,,count offers,1,1,38,8.748251748251748,1000
147,,link-loss,45,0,45,32.86813186813187,1000
147,,mean-complexity,7,4,8.5,6.640286301000588,1000
148,30,[step],1000,0,1000,500,1000
148,,count sellers,1,1,20,3.6563436563436564,1000
148,,exited-sellers,19,0,19,16.343656343656345,1000
148,,survival-rate,0.05,0.05,1,0.18281718281719106,1000
148,,mean-cash,0,-1645,1006,165.79840404628118,1000
148,,mean-debt,29000,0,29000,14086.5480492978,1000
148,,mean-buyer-budget,39.9,39.9,624.9,41.9292207792216,1000
148,,count offers,6,0,45,7.204795204795205,1000
148,,link-loss,46,0,46,38.14985014985015,1000
148,,mean-complexity,8,4.6,8.333333333333334,6.346429472403497,1000
149,30,[step],1000,0,1000,500,1000
149,,count sellers,3,3,20,5.577422577422578,1000
149,,exited-sellers,17,0,17,14.422577422577422,1000
149,,survival-rate,0.15,0.15,1,0.2788711288711286,1000
149,,mean-cash,43.333333333333336,26,1000,253.1114494210828,1000
149,,mean-debt,28833.333333333332,0,28833.333333333332,14073.477297051193,1000
149,,mean-buyer-budget,49.2,49.2,605.45,51.26918081918006,1000
149,,count offers,15,13,60,19.413586413586415,1000
149,,link-loss,53,0,53,44.213786213786214,1000
149,,mean-complexity,8,3.9,8,6.801902078744338,1000
150,30,[step],1000,0,1000,500,1000
150,,count sellers,0,0,20,3.3736263736263736,1000
150,,exited-sellers,20,0,20,16.626373626373628,1000
150,,survival-rate,0,0,1,0.16868131868132422,1000
150,,mean-cash,0,-57.77777777777778,1000,168.7075702075702,1000
150,,mean-debt,0,0,19500,6502.816627816627,1000
150,,mean-buyer-budget,41.3,41.3,676.3,43.4965534465538,1000
150,,count offers,0,0,18,7.448551448551449,1000
150,,link-loss,24,0,24,14.835164835164836,1000
150,,mean-complexity,0,0,10,5.265828615828616,1000
151,40,[step],1000,0,1000,500,1000
151,,count sellers,0,0,20,2.3656343656343655,1000
151,,exited-sellers,20,0,20,17.634365634365633,1000
151,,survival-rate,0,0,1,0.11828171828171789,1000
151,,mean-cash,0,-7280,1000,-443.2101910188823,1000
151,,mean-debt,0,0,4500,600.1503006373135,1000
151,,mean-buyer-budget,41.75,41.75,618,43.90284715284715,1000
151,,count offers,0,0,33,3.3316683316683315,1000
151,,link-loss,37,0,37,31.94305694305694,1000
151,,mean-complexity,0,0,7.5,1.387359194252301,1000
152,40,[step],1000,0,1000,500,1000
152,,count sellers,1,1,20,3.5804195804195804,1000
152,,exited-sellers,19,0,19,16.41958041958042,1000
152,,survival-rate,0.05,0.05,1,0.1790209790209876,1000
152,,mean-cash,300,-156.25,1000,235.12551301512346,1000
152,,mean-debt,39000,0,39000,18997.887556166774,1000
152,,mean-buyer-budget,45.05,45.05,673.8,47.235314685315245,1000
152,,count offers,10,3,19,10.410589410589411,1000
152,,link-loss,26,0,26,20.51848151848152,1000
152,,mean-complexity,10,3.4,10,8.193297287128454,1000
153,40,[step],1000,0,1000,500,1000
153,,count sellers,0,0,20,2.624375624375624,1000
153,,exited-sellers,20,0,20,17.375624375624376,1000
153,,survival-rate,0,0,1,0.13121878121878108,1000
153,,mean-cash,0,-3315,1000,-159.60833222721334,1000
153,,mean-debt,0,0,19500,4600.05552639169,1000
153,,mean-buyer-budget,45.8,45.8,655.8,48.05524475524536,1000
153,,count offers,0,0,29,5.8781218781218785,1000
153,,link-loss,33,0,33,25.51848151848152,1000
153,,mean-complexity,0,0,9,3.4083806303586526,1000
154,40,[step],1000,0,1000,500,1000
154,,count sellers,0,0,20,2.6103896103896105,1000
154,,exited-sellers,20,0,20,17.38961038961039,1000
154,,survival-rate,0,0,1,0.1305194805194807,1000
154,,mean-cash,0,-2040,1000,-31.89181842965558,1000
154,,mean-debt,0,0,7000,572.2859225356729,1000
154,,mean-buyer-budget,52.05,52.05,642.05,54.2677822177831,1000
154,,count offers,0,0,31,4.240759240759241,1000
154,,link-loss,39,0,39,33.557442557442556,1000
154,,mean-complexity,0,0,6.6,1.0562014506195327,1000
155,40,[step],1000,0,1000,500,1000
155,,count sellers,0,0,20,2.1998001998001997,1000
155,,exited-sellers,20,0,20,17.8001998001998,1000
155,,survival-rate,0,0,1,0.10999000999000987,1000
155,,mean-cash,0,-24625,1000,59.99710885462635,1000
155,,mean-debt,0,0,8500,893.4735621798558,1000
155,,mean-buyer-budget,41.75,41.75,611.75,43.797952047952045,1000
155,,count offers,0,0,33,3.89010989010989,1000
155,,link-loss,33,0,33,28.53946053946054,1000
155,,mean-complexity,0,0,8,1.2683466494655307,1000
156,40,[step],1000,0,1000,500,1000
156,,count sellers,0,0,20,2.3156843156843157,1000
156,,exited-sellers,20,0,20,17.684315684315685,1000
156,,survival-rate,0,0,1,0.11578421578421551,1000
156,,mean-cash,0,-483.3333333333333,1000,32.31248852470357,1000
156,,mean-debt,0,0,6500,529.3010798009284,1000
156,,mean-buyer-budget,41.9,41.9,548.15,43.64075924076008,1000
156,,count offers,0,0,25,2.5104895104895104,1000
156,,link-loss,33,0,33,29.024975024975024,1000
156,,mean-complexity,0,0,6,0.973720753039422,1000
157,40,[step],1000,0,1000,500,1000
157,,count sellers,0,0,20,3.3216783216783217,1000
157,,exited-sellers,20,0,20,16.678321678321677,1000
157,,survival-rate,0,0,1,0.1660839160839237,1000
157,,mean-cash,0,-36690,1000,-16380.758158508157,1000
157,,mean-debt,0,0,6833.333333333333,2285.688716045859,1000
157,,mean-buyer-budget,40.15,40.15,692.65,42.505144855145694,1000
157,,count offers,0,0,32,9.584415584415584,1000
157,,link-loss,39,0,39,25.208791208791208,1000
157,,mean-complexity,0,0,9,7.123398030540893,1000
158,40,[step],1000,0,1000,500,1000
158,,count sellers,1,1,20,4.207792207792208,1000
158,,exited-sellers,19,0,19,15.792207792207792,1000
158,,survival-rate,0.05,0.05,1,0.21038961038960866,1000
158,,mean-cash,452.5,-3259.1666666666665,1000,-245.40502408846584,1000
158,,mean-debt,37000,0,37000,17632.196483170508,1000
158,,mean-buyer-budget,36.15,36.15,674.9,38.55009990010067,1000
158,,count offers,10,10,40,13.714285714285714,1000
158,,link-loss,42,0,42,29.506493506493506,1000
158,,mean-complexity,10,3.85,10,7.330122907395636,1000
159,40,[step],1000,0,1000,500,1000
159,,count sellers,0,0,20,2.364635364635365,1000
159,,exited-sellers,20,0,20,17.635364635364635,1000
159,,survival-rate,0,0,1,0.11823176823176731,1000
159,,mean-cash,0,0,1000,93.85321654702275,1000
159,,mean-debt,0,0,14000,2521.1222427256394,1000
159,,mean-buyer-budget,32,32,522,33.62962037962038,1000
159,,count offers,0,0,34,4.107892107892108,1000
159,,link-loss,39,0,39,33.50949050949051,1000
159,,mean-complexity,0,0,5.5,1.749470143576038,1000
160,40,[step],1000,0,1000,500,1000
160,,count sellers,1,1,20,3.2287712287712287,1000
160,,exited-sellers,19,0,19,16.77122877122877,1000
160,,survival-rate,0.05,0.05,1,0.1614385614385692,1000
160,,mean-cash,-37000,-37000,1000,-16878.737557175868,1000
160,,mean-debt,2000,0,6166.666666666667,2095.217949438728,1000
160,,mean-buyer-budget,61.95,61.95,713.2,64.3725774225762,1000
160,,count offers,3,2,32,6.984015984015984,1000
160,,link-loss,44,0,44,36.40959040959041,1000
160,,mean-complexity,6,3.8,7,5.287162044304901,1000
161,40,[step],1000,0,1000,500,1000
161,,count sellers,1,1,20,3.959040959040959,1000
161,,exited-sellers,19,0,19,16.04095904095904,1000
161,,survival-rate,0.05,0.05,1,0.19795204795204957,1000
161,,mean-cash,60,-120.5,1000,237.49965661603298,1000
161,,mean-debt,39000,0,39000,19067.241046499286,1000
161,,mean-buyer-budget,43.8,43.8,555.05,45.62692307692355,1000
161,,count offers,1,1,12,6.568431568431569,1000
161,,link-loss,16,0,16,9.132867132867133,1000
161,,mean-complexity,7,4.05,7,6.249495062096432,1000
162,40,[step],1000,0,1000,500,1000
162,,count sellers,0,0,20,3.2297702297702298,1000
162,,exited-sellers,20,0,20,16.77022977022977,1000
162,,survival-rate,0,0,1,0.16148851148851606,1000
162,,mean-cash,0,0,1000,180.62731786195837,1000
162,,mean-debt,0,0,28500,10220.86371836622,1000
162,,mean-buyer-budget,42.9,42.9,614.15,45.03411588411675,1000
162,,count offers,0,0,25,8.939060939060939,1000
162,,link-loss,44,0,44,29.58041958041958,1000
162,,mean-complexity,0,0,10,5.901733048835941,1000
163,40,[step],1000,0,1000,500,1000
163,,count sellers,1,1,20,3.2227772227772227,1000
163,,exited-sellers,19,0,19,16.77722277722278,1000
163,,survival-rate,0.05,0.05,1,0.1611388611388682,1000
163,,mean-cash,0,-18.75,1000,243.592755944332,1000
163,,mean-debt,39000,0,39000,19199.02954278358,1000
163,,mean-buyer-budget,50.5,50.5,738,53.35839160839161,1000
163,,count offers,7,4,48,10.062937062937063,1000
163,,link-loss,58,0,58,50.58841158841159,1000
163,,mean-complexity,9,3.95,9,7.790628135780042,1000
164,40,[step],1000,0,1000,500,1000
164,,count sellers,1,1,20,4.044955044955045,1000
164,,exited-sellers,19,0,19,15.955044955044954,1000
164,,survival-rate,0.05,0.05,1,0.20224775224775265,1000
164,,mean-cash,30,-71.53846153846153,1000,246.8571318791099,1000
164,,mean-debt,39000,0,39000,19219.10516223703,1000
164,,mean-buyer-budget,48.45,48.45,517.2,49.891058941058255,1000
164,,count offers,6,6,40,11.19080919080919,1000
164,,link-loss,42,0,42,32.217782217782215,1000
164,,mean-complexity,8,4.142857142857143,8,6.283245509069682,1000
165,40,[step],1000,0,1000,500,1000
165,,count sellers,2,2,20,4.62037962037962,1000
165,,exited-sellers,18,0,18,15.379620379620379,1000
165,,survival-rate,0.1,0.1,1,0.23101898101897922,1000
165,,mean-cash,0,-6500,1000,-1442.3903683374174,1000
165,,mean-debt,39000,0,39000,17537.400726342665,1000
165,,mean-buyer-budget,46.25,46.25,565,48.03696303696304,1000
165,,count offers,10,1,49,11.487512487512488,1000
165,,link-loss,56,0,56,46.41158841158841,1000
165,,mean-complexity,7,4.25,7,6.1833618295803285,1000
166,40,[step],1000,0,1000,500,1000
166,,count sellers,1,1,20,3.1758241758241756,1000
166,,exited-sellers,19,0,19,16.824175824175825,1000
166,,survival-rate,0.05,0.05,1,0.15879120879121483,1000
166,,mean-cash,0,-60.90909090909091,1000,236.71695043772968,1000
166,,mean-debt,39000,0,39000,19232.563936784714,1000
166,,mean-buyer-budget,37.45,37.45,621.2,39.50419580419573,1000
166,,count offers,5,0,28,5.082917082917083,1000
166,,link-loss,28,0,28,24.805194805194805,1000
166,,mean-complexity,6,3.5,6,5.1214491857349005,1000
167,40,[step],1000,0,1000,500,1000
167,,count sellers,0,0,20,2.6863136863136865,1000
167,,exited-sellers,20,0,20,17.313686313686315,1000
167,,survival-rate,0,0,1,0.1343156843156849,1000
167,,mean-cash,0,-64.54545454545455,1000,135.14051383182252,1000
167,,mean-debt,0,0,22000,6153.385899814471,1000
167,,mean-buyer-budget,48.05,48.05,600.55,50.055494505495204,1000
167,,count offers,0,0,29,4.63036963036963,1000
167,,link-loss,42,0,42,34.94105894105894,1000
167,,mean-complexity,0,0,6.5,2.679885532383035,1000
168,40,[step],1000,0,1000,500,1000
168,,count sellers,1,1,20,3.247752247752248,1000
168,,exited-sellers,19,0,19,16.75224775224775,1000
168,,survival-rate,0.05,0.05,1,0.16238761238762026,1000
168,,mean-cash,180,0,1000,246.2754897346244,1000
168,,mean-debt,39000,0,39000,19078.84887548349,1000
168,,mean-buyer-budget,49,49,567.75,50.70829170829171,1000
168,,count offers,8,5,36,10.045954045954046,1000
168,,link-loss,34,0,34,29.627372627372626,1000
168,,mean-complexity,9,3.85,9,8.10034004457081,1000
169,40,[step],1000,0,1000,500,1000
169,,count sellers,1,1,20,3.6403596403596405,1000
169,,exited-sellers,19,0,19,16.35964035964036,1000
169,,survival-rate,0.05,0.05,1,0.18201798201798722,1000
169,,mean-cash,0,-7150,1000,-1132.3789823230381,1000
169,,mean-debt,39000,0,39000,17852.439747232456,1000
169,,mean-buyer-budget,39.2,39.2,487.95,40.69600399600383,1000
169,,count offers,2,2,37,7.602397602397603,1000
169,,link-loss,41,0,41,34.422577422577426,1000
169,,mean-complexity,7,4.5,7,6.194464421137748,1000
170,40,[step],1000,0,1000,500,1000
